lat,lon,satelite,data
 -17.348930, -62.744540,TERRA_M-M,2023-10-10 02:19:00
 -17.346340, -62.725980,TERRA_M-M,2023-10-10 02:19:00
 -17.345050, -62.716710,TERRA_M-M,2023-10-10 02:19:00
 -17.343750, -62.707430,TERRA_M-M,2023-10-10 02:19:00
 -17.338740, -63.542450,TERRA_M-M,2023-10-10 02:19:00
 -17.337440, -63.532950,TERRA_M-M,2023-10-10 02:19:00
 -17.336150, -62.718090,TERRA_M-M,2023-10-10 02:19:00
 -17.333560, -62.699540,TERRA_M-M,2023-10-10 02:19:00
 -17.332270, -62.690260,TERRA_M-M,2023-10-10 02:19:00
 -17.330970, -62.680980,TERRA_M-M,2023-10-10 02:19:00
 -17.301970, -60.332980,TERRA_M-M,2023-10-10 02:19:00
 -17.292570, -60.334610,TERRA_M-M,2023-10-10 02:19:00
 -17.161750, -62.990660,TERRA_M-M,2023-10-10 02:19:00
 -17.156950, -63.286800,TERRA_M-M,2023-10-10 02:19:00
 -17.126260, -63.195900,TERRA_M-M,2023-10-10 02:19:00
 -17.037350, -63.422590,TERRA_M-M,2023-10-10 02:19:00
 -17.036060, -63.413180,TERRA_M-M,2023-10-10 02:19:00
 -16.961460, -60.647010,TERRA_M-M,2023-10-10 02:19:00
 -16.959920, -60.636820,TERRA_M-M,2023-10-10 02:19:00
 -16.952170, -60.648590,TERRA_M-M,2023-10-10 02:19:00
 -16.950620, -60.638410,TERRA_M-M,2023-10-10 02:19:00
 -16.949080, -60.628200,TERRA_M-M,2023-10-10 02:19:00
 -16.947530, -60.617980,TERRA_M-M,2023-10-10 02:19:00
 -16.712320, -61.132580,TERRA_M-M,2023-10-10 02:19:00
 -16.704120, -60.232210,TERRA_M-M,2023-10-10 02:19:00
 -16.702460, -60.221460,TERRA_M-M,2023-10-10 02:19:00
 -16.632450, -59.770860,TERRA_M-M,2023-10-10 02:19:00
 -16.630670, -59.759540,TERRA_M-M,2023-10-10 02:19:00
 -16.600420, -59.771040,TERRA_M-M,2023-10-10 02:19:00
 -16.598700, -59.759740,TERRA_M-M,2023-10-10 02:19:00
 -16.372660, -61.646930,TERRA_M-M,2023-10-10 02:21:00
 -16.371270, -61.637420,TERRA_M-M,2023-10-10 02:21:00
 -16.324090, -65.247540,TERRA_M-M,2023-10-10 02:21:00
 -16.261670, -61.455650,TERRA_M-M,2023-10-10 02:21:00
 -16.260250, -61.446000,TERRA_M-M,2023-10-10 02:21:00
 -16.206820, -61.519580,TERRA_M-M,2023-10-10 02:21:00
 -16.205430, -61.510010,TERRA_M-M,2023-10-10 02:21:00
 -16.185880, -61.503310,TERRA_M-M,2023-10-10 02:21:00
 -16.184470, -61.493660,TERRA_M-M,2023-10-10 02:21:00
 -16.140620, -61.322340,TERRA_M-M,2023-10-10 02:21:00
 -16.064320, -62.124740,TERRA_M-M,2023-10-10 02:21:00
 -16.062970, -62.115420,TERRA_M-M,2023-10-10 02:21:00
 -16.061630, -62.106070,TERRA_M-M,2023-10-10 02:21:00
 -15.880290, -65.594420,TERRA_M-M,2023-10-10 02:21:00
 -15.867330, -63.339100,TERRA_M-M,2023-10-10 02:21:00
 -15.866050, -63.329860,TERRA_M-M,2023-10-10 02:21:00
 -15.822560, -60.624250,TERRA_M-M,2023-10-10 02:21:00
 -15.820960, -60.613850,TERRA_M-M,2023-10-10 02:21:00
 -15.819370, -60.603460,TERRA_M-M,2023-10-10 02:21:00
 -15.815220, -60.610520,TERRA_M-M,2023-10-10 02:21:00
 -15.507560, -63.669780,TERRA_M-M,2023-10-10 02:21:00
 -15.498600, -63.671110,TERRA_M-M,2023-10-10 02:21:00
 -15.497330, -63.661820,TERRA_M-M,2023-10-10 02:21:00
 -15.203330, -61.344220,TERRA_M-M,2023-10-10 02:21:00
 -14.884340, -64.841970,TERRA_M-M,2023-10-10 02:21:00
 -14.562230, -63.218380,TERRA_M-M,2023-10-10 02:21:00
 -14.560950, -63.209250,TERRA_M-M,2023-10-10 02:21:00
 -14.555890, -63.238000,TERRA_M-M,2023-10-10 02:21:00
 -14.554610, -63.228860,TERRA_M-M,2023-10-10 02:21:00
 -14.328690, -64.738790,TERRA_M-M,2023-10-10 02:21:00
 -14.320830, -64.749800,TERRA_M-M,2023-10-10 02:21:00
 -14.319530, -64.740100,TERRA_M-M,2023-10-10 02:21:00
 -14.197830, -66.066150,TERRA_M-M,2023-10-10 02:21:00
 -14.076990, -63.904120,TERRA_M-M,2023-10-10 02:21:00
 -14.075710, -63.894910,TERRA_M-M,2023-10-10 02:21:00
 -14.070600, -63.923860,TERRA_M-M,2023-10-10 02:21:00
 -14.065510, -63.887030,TERRA_M-M,2023-10-10 02:21:00
 -14.064230, -63.877820,TERRA_M-M,2023-10-10 02:21:00
 -14.062960, -63.868630,TERRA_M-M,2023-10-10 02:21:00
 -14.061660, -63.925180,TERRA_M-M,2023-10-10 02:21:00
 -14.055300, -63.879150,TERRA_M-M,2023-10-10 02:21:00
 -14.054030, -63.869950,TERRA_M-M,2023-10-10 02:21:00
 -13.377750, -63.834860,TERRA_M-M,2023-10-10 02:21:00
 -13.376490, -63.825740,TERRA_M-M,2023-10-10 02:21:00
 -13.375220, -63.816620,TERRA_M-M,2023-10-10 02:21:00
 -13.373950, -63.807500,TERRA_M-M,2023-10-10 02:21:00
 -13.367580, -63.827060,TERRA_M-M,2023-10-10 02:21:00
 -13.366310, -63.817940,TERRA_M-M,2023-10-10 02:21:00
   3.938270, -61.105170,TERRA_M-M,2023-10-10 02:26:00
  -9.402920, -61.464630,TERRA_M-M,2023-10-10 02:21:00
  -9.401260, -61.453680,TERRA_M-M,2023-10-10 02:21:00
  -9.399950, -61.459720,TERRA_M-M,2023-10-10 02:21:00
  -8.812750, -67.175500,TERRA_M-M,2023-10-10 02:24:00
  -8.811280, -67.164640,TERRA_M-M,2023-10-10 02:24:00
  -8.750880, -67.009180,TERRA_M-M,2023-10-10 02:24:00
  -8.749460, -66.998570,TERRA_M-M,2023-10-10 02:24:00
  -8.713730, -67.025040,TERRA_M-M,2023-10-10 02:24:00
  -8.709590, -67.020590,TERRA_M-M,2023-10-10 02:24:00
  -8.681840, -67.254690,TERRA_M-M,2023-10-10 02:24:00
  -8.680390, -67.243760,TERRA_M-M,2023-10-10 02:24:00
  -8.632920, -67.278820,TERRA_M-M,2023-10-10 02:24:00
  -8.631440, -67.267880,TERRA_M-M,2023-10-10 02:24:00
  -8.502230, -67.137280,TERRA_M-M,2023-10-10 02:24:00
  -8.500790, -67.126560,TERRA_M-M,2023-10-10 02:24:00
  -8.499360, -67.115880,TERRA_M-M,2023-10-10 02:24:00
  -8.426460, -63.918400,TERRA_M-M,2023-10-10 02:24:00
  -7.905990, -61.526070,TERRA_M-M,2023-10-10 02:24:00
  -7.904330, -61.514780,TERRA_M-M,2023-10-10 02:24:00
  -7.782890, -61.316220,TERRA_M-M,2023-10-10 02:24:00
  -7.774530, -61.329370,TERRA_M-M,2023-10-10 02:24:00
  -7.593820, -61.212770,TERRA_M-M,2023-10-10 02:24:00
  -7.537300, -61.383950,TERRA_M-M,2023-10-10 02:24:00
  -7.534900, -60.740670,TERRA_M-M,2023-10-10 02:24:00
  -7.464470, -64.345500,TERRA_M-M,2023-10-10 02:24:00
  -7.463210, -64.336560,TERRA_M-M,2023-10-10 02:24:00
  -7.447810, -64.484430,TERRA_M-M,2023-10-10 02:24:00
  -7.446550, -64.475520,TERRA_M-M,2023-10-10 02:24:00
  -7.436540, -64.340440,TERRA_M-M,2023-10-10 02:24:00
  -7.435280, -64.331500,TERRA_M-M,2023-10-10 02:24:00
  -7.430180, -64.359580,TERRA_M-M,2023-10-10 02:24:00
  -7.353610, -59.754570,TERRA_M-M,2023-10-10 02:24:00
  -7.321100, -60.612610,TERRA_M-M,2023-10-10 02:24:00
  -7.305500, -64.653470,TERRA_M-M,2023-10-10 02:24:00
  -7.304250, -64.644570,TERRA_M-M,2023-10-10 02:24:00
  -7.296490, -64.718280,TERRA_M-M,2023-10-10 02:24:00
  -7.019980, -59.454480,TERRA_M-M,2023-10-10 02:24:00
  -7.017480, -59.438240,TERRA_M-M,2023-10-10 02:24:00
  -6.935790, -59.069690,TERRA_M-M,2023-10-10 02:24:00
  -6.931830, -59.076920,TERRA_M-M,2023-10-10 02:24:00
  -6.929220, -59.059430,TERRA_M-M,2023-10-10 02:24:00
  -6.923660, -59.071650,TERRA_M-M,2023-10-10 02:24:00
  -6.920900, -59.054130,TERRA_M-M,2023-10-10 02:24:00
  -6.889040, -58.932160,TERRA_M-M,2023-10-10 02:24:00
  -6.886130, -58.939300,TERRA_M-M,2023-10-10 02:24:00
  -6.818120, -58.986620,TERRA_M-M,2023-10-10 02:24:00
  -6.815310, -58.968850,TERRA_M-M,2023-10-10 02:24:00
  -6.812400, -58.974990,TERRA_M-M,2023-10-10 02:24:00
  -6.730510, -59.366750,TERRA_M-M,2023-10-10 02:24:00
  -3.981340, -60.029910,TERRA_M-M,2023-10-10 02:24:00
  -3.978880, -60.013390,TERRA_M-M,2023-10-10 02:24:00
  -3.969490, -60.031680,TERRA_M-M,2023-10-10 02:24:00
  -3.827610, -58.914550,TERRA_M-M,2023-10-10 02:24:00
  -3.814610, -58.916540,TERRA_M-M,2023-10-10 02:24:00
  -3.811540, -58.896160,TERRA_M-M,2023-10-10 02:24:00
  -3.801610, -58.918560,TERRA_M-M,2023-10-10 02:24:00
  -3.798520, -58.898170,TERRA_M-M,2023-10-10 02:24:00
  -3.774440, -61.746880,TERRA_M-M,2023-10-10 02:24:00
  -3.605570, -61.630220,TERRA_M-M,2023-10-10 02:24:00
  -3.603740, -61.617440,TERRA_M-M,2023-10-10 02:24:00
  -3.590910, -62.453960,TERRA_M-M,2023-10-10 02:24:00
  -3.590850, -61.527590,TERRA_M-M,2023-10-10 02:24:00
  -3.580990, -62.455410,TERRA_M-M,2023-10-10 02:24:00
  -3.566010, -61.726270,TERRA_M-M,2023-10-10 02:24:00
  -3.559660, -59.953430,TERRA_M-M,2023-10-10 02:24:00
  -3.552550, -59.947810,TERRA_M-M,2023-10-10 02:24:00
  -3.550230, -68.941020,TERRA_M-M,2023-10-10 02:24:00
  -3.549710, -68.946780,TERRA_M-M,2023-10-10 02:24:00
  -3.449860, -60.163370,TERRA_M-M,2023-10-10 02:24:00
  -3.223320, -68.065640,TERRA_M-M,2023-10-10 02:24:00
  -3.209110, -61.178300,TERRA_M-M,2023-10-10 02:24:00
  -3.207060, -61.164420,TERRA_M-M,2023-10-10 02:24:00
  -3.196100, -61.166050,TERRA_M-M,2023-10-10 02:24:00
  -3.176750, -61.111760,TERRA_M-M,2023-10-10 02:24:00
  -3.175680, -61.118390,TERRA_M-M,2023-10-10 02:24:00
  -3.046970, -61.657850,TERRA_M-M,2023-10-10 02:24:00
  -3.036400, -61.431220,TERRA_M-M,2023-10-10 02:24:00
  -3.036380, -61.659390,TERRA_M-M,2023-10-10 02:24:00
